Category,Question,Answer
Fees & Scholarships,"Tell me, fee for PhD in English? Thanks.","For PhD in English, the semester fee is updated annually. You can download the fee voucher from your student portal."
Fees & Scholarships,Please guide me about fee for ME in Electronic Engineering? - thanks in advance!,"For ME in Electronic Engineering, the semester fee is updated annually. You can download the fee voucher from your student portal."
Fees & Scholarships,Fee for ME in Physics? Can you help?,The fee structure for Physics varies depending on whether you are admitted under regular or self-finance categories. Please refer to the latest prospectus.
Academics,Can you tell me directions to Mathematics building? Can you help?,The Mathematics department is located at the Main Campus. You can find its exact location on the campus map near the academic blocks.
Admissions,I'm looking for info on what is the merit for ME in Electronic Engineering? Appreciate it.,Admission to Electronic Engineering (ME) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Academics,Do you know directions to Metallurgical Engineering building?,You can find the Metallurgical Engineering at the NED Main Campus.
Admissions,Do you know how much percentage is required for English PhD? Thanks.,The merit criteria for PhD in English depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Fees & Scholarships,"Hello, fee for MS in Civil Engineering? (I need this urgently)",The fee structure for Civil Engineering varies depending on whether you are admitted under regular or self-finance categories. Please refer to the latest prospectus.
Fees & Scholarships,"Tell me, how much does Software Engineering cost? Thanks.",The fee structure for Software Engineering varies depending on whether you are admitted under regular or self-finance categories. Please refer to the latest prospectus.
Admissions,I'm looking for info on how much percentage is required for Electrical Engineering MS?,The merit criteria for MS in Electrical Engineering depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Fees & Scholarships,Could you please explain fee for BE in Materials Engineering? ASAP.,The fee structure for Materials Engineering varies depending on whether you are admitted under regular or self-finance categories. Please refer to the latest prospectus.
Facilities,Can you tell me how do I go to Engr. Abul Kalam Library? Can you help?,You will find the Engr. Abul Kalam Library clearly signposted at the NED Main Campus.
Admissions,I'm looking for info on what is the merit for PhD in Electrical Engineering?,Admission to Electrical Engineering (PhD) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Fees & Scholarships,I would like to know are there scholarships for Automotive Engineering?,Scholarships for Automotive Engineering students are announced periodically. Keep checking the Student Affairs notice board.
Academics,Quick question: who is the chairperson of Materials Engineering?,"To contact the HOD of Materials Engineering, please visit the specific department's page on neduet.edu.pk."
Admissions,Can you tell me how much percentage is required for Computer Systems Engineering BS?,Admission to Computer Systems Engineering (BS) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Admissions,"Hello, merit criteria for Software Engineering? - thanks in advance!",The merit criteria for BE in Software Engineering depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Academics,"Tell me, how to find Telecommunications Engineering? Please.",The Telecommunications Engineering department is located at the Main Campus. You can find its exact location on the campus map near the academic blocks.
Academics,Could you please explain location of Civil Engineering? (I need this urgently),You can find the Civil Engineering at the NED Main Campus.
Admissions,Merit criteria for Polymer & Petrochemical Engineering? Thanks.,Admission to Polymer & Petrochemical Engineering (BE) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Admissions,How much percentage is required for Materials Engineering BE? ASAP.,Admission to Materials Engineering (BE) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Fees & Scholarships,"Hello, are there scholarships for English? ASAP.",Scholarships for English students are announced periodically. Keep checking the Student Affairs notice board.
Fees & Scholarships,"Hey CampusBrain, fee for ME in Mathematics?","For ME in Mathematics, the semester fee is updated annually. You can download the fee voucher from your student portal."
Facilities,Do you know directions for Main Cafeteria? Please.,The Main Cafeteria is situated at the Main Campus. Ask any of the security personnel or student volunteers for exact directions.
Facilities,"Hi, directions for Sports Complex? Thanks.",You will find the Sports Complex clearly signposted at the NED Main Campus.
Admissions,"Tell me, how much percentage is required for Civil Engineering BS? Please.",The merit criteria for BS in Civil Engineering depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Fees & Scholarships,Please guide me about fee for BE in Chemistry? Appreciate it.,"For BE in Chemistry, the semester fee is updated annually. You can download the fee voucher from your student portal."
Academics,Who is the chairperson of Biomedical Engineering? Appreciate it.,"To contact the HOD of Biomedical Engineering, please visit the specific department's page on neduet.edu.pk."
Fees & Scholarships,I'm looking for info on fee for ME in Software Engineering? Can you help?,"For ME in Software Engineering, the semester fee is updated annually. You can download the fee voucher from your student portal."
Admissions,"Hi, closing merit for Physics? - thanks in advance!",The merit criteria for PhD in Physics depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Fees & Scholarships,I would like to know fee for ME in Mathematics? Please.,"For ME in Mathematics, the semester fee is updated annually. You can download the fee voucher from your student portal."
Academics,I would like to know location of Physics? Thanks.,The Physics department is located at the Main Campus. You can find its exact location on the campus map near the academic blocks.
Facilities,I'm looking for info on closing time for Engr. Abul Kalam Library? - thanks in advance!,The Engr. Abul Kalam Library generally operates from 8:30 AM to 4:30 PM on weekdays. Timings may vary during Ramadan or exam seasons.
Admissions,"Hello, how much percentage is required for Materials Engineering PhD? ASAP.",Admission to Materials Engineering (PhD) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Academics,I'm looking for info on where is the Mechanical Engineering department located? (I need this urgently),The Mechanical Engineering department is located at the Main Campus. You can find its exact location on the campus map near the academic blocks.
Facilities,"Tell me, when does Transport Office open?","You can visit the Transport Office during standard university working hours, Monday to Friday."
Admissions,"Tell me, what is the merit for ME in Automotive Engineering?",The merit criteria for ME in Automotive Engineering depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Academics,"Hi, where is the Electronic Engineering department located?",The Electronic Engineering department is located at the Main Campus. You can find its exact location on the campus map near the academic blocks.
Academics,I'm looking for info on HOD of Chemical Engineering? - thanks in advance!,"To contact the HOD of Chemical Engineering, please visit the specific department's page on neduet.edu.pk."
Academics,Please guide me about how to find Metallurgical Engineering?,You can find the Metallurgical Engineering at the NED Main Campus.
Admissions,I would like to know how much percentage is required for Polymer & Petrochemical Engineering ME? ASAP.,Admission to Polymer & Petrochemical Engineering (ME) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Fees & Scholarships,Quick question: fee for ME in Architecture? Please.,"For ME in Architecture, the semester fee is updated annually. You can download the fee voucher from your student portal."
Fees & Scholarships,"Tell me, are there scholarships for Food Engineering?",NED University offers various need-based and merit-based scholarships. You can apply through the Student Affairs department.
Facilities,Quick question: directions for Admissions Office? Can you help?,The Admissions Office is situated at the Main Campus. Ask any of the security personnel or student volunteers for exact directions.
Admissions,"Hey CampusBrain, what is the merit for ME in Civil Engineering? ASAP.",Admission to Civil Engineering (ME) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Admissions,Could you please explain closing merit for Metallurgical Engineering? (I need this urgently),Admission to Metallurgical Engineering (MS) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Admissions,Could you please explain how much percentage is required for Environmental Engineering PhD? ASAP.,The merit criteria for PhD in Environmental Engineering depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Academics,I'm looking for info on how to find Environmental Engineering? ASAP.,You can find the Environmental Engineering at the NED Main Campus.
Admissions,I'm looking for info on what is the merit for PhD in Biomedical Engineering?,Admission to Biomedical Engineering (PhD) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Fees & Scholarships,Quick question: fee for MS in English? Appreciate it.,The fee structure for English varies depending on whether you are admitted under regular or self-finance categories. Please refer to the latest prospectus.
Facilities,Quick question: closing time for Main Cafeteria? Appreciate it.,The Main Cafeteria generally operates from 8:30 AM to 4:30 PM on weekdays. Timings may vary during Ramadan or exam seasons.
Facilities,"Tell me, directions for Engr. Abul Kalam Library? Appreciate it.",You will find the Engr. Abul Kalam Library clearly signposted at the NED Main Campus.
Admissions,Please guide me about what is the merit for ME in Automotive Engineering? Please.,Admission to Automotive Engineering (ME) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Academics,"Hey CampusBrain, chairperson contact for Urban & Infrastructure Engineering?","To contact the HOD of Urban & Infrastructure Engineering, please visit the specific department's page on neduet.edu.pk."
Admissions,Could you please explain what is the merit for MS in Materials Engineering? Thanks.,The merit criteria for MS in Materials Engineering depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Fees & Scholarships,"Tell me, fee for ME in Materials Engineering? ASAP.","For ME in Materials Engineering, the semester fee is updated annually. You can download the fee voucher from your student portal."
Fees & Scholarships,Could you please explain semester fee for ME? Thanks.,The fee structure for Civil Engineering varies depending on whether you are admitted under regular or self-finance categories. Please refer to the latest prospectus.
Fees & Scholarships,Quick question: how much does Physics cost? Can you help?,"For BE in Physics, the semester fee is updated annually. You can download the fee voucher from your student portal."
Admissions,I would like to know closing merit for Electrical Engineering? Can you help?,The merit criteria for PhD in Electrical Engineering depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Fees & Scholarships,I'm looking for info on fee for PhD in Polymer & Petrochemical Engineering? Please.,The fee structure for Polymer & Petrochemical Engineering varies depending on whether you are admitted under regular or self-finance categories. Please refer to the latest prospectus.
Academics,I'm looking for info on location of Chemistry?,The Chemistry department is located at the Main Campus. You can find its exact location on the campus map near the academic blocks.
Fees & Scholarships,Please guide me about fee for ME in Environmental Engineering? (I need this urgently),"For ME in Environmental Engineering, the semester fee is updated annually. You can download the fee voucher from your student portal."
Academics,Could you please explain HOD of English? - thanks in advance!,"To contact the HOD of English, please visit the specific department's page on neduet.edu.pk."
Fees & Scholarships,"Hi, fee for ME in Mathematics? - thanks in advance!","For ME in Mathematics, the semester fee is updated annually. You can download the fee voucher from your student portal."
Fees & Scholarships,"Tell me, fee for PhD in Civil Engineering? ASAP.",The fee structure for Civil Engineering varies depending on whether you are admitted under regular or self-finance categories. Please refer to the latest prospectus.
Academics,"Hi, HOD of Mathematics? Thanks.",The details of the Chairperson for Mathematics are listed on the departmental sub-domain of the NED website.
Fees & Scholarships,"Hey CampusBrain, are there scholarships for Physics?",Scholarships for Physics students are announced periodically. Keep checking the Student Affairs notice board.
Fees & Scholarships,"Hello, fee for BS in Materials Engineering? (I need this urgently)",The fee structure for Materials Engineering varies depending on whether you are admitted under regular or self-finance categories. Please refer to the latest prospectus.
Academics,"Hi, directions to Materials Engineering building? Appreciate it.",You can find the Materials Engineering at the NED Main Campus.
Fees & Scholarships,Quick question: fee for ME in English? ASAP.,"For ME in English, the semester fee is updated annually. You can download the fee voucher from your student portal."
Admissions,Please guide me about how much percentage is required for Biomedical Engineering BS? Please.,Admission to Biomedical Engineering (BS) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Admissions,"Hello, how much percentage is required for Electronic Engineering BE? Thanks.",Admission to Electronic Engineering (BE) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Admissions,"Hello, when do admissions open for ME? Please.",Admissions for ME typically open around June-July for the Fall semester. Keep an eye on the NED admission website at neduet.edu.pk/admission.
Admissions,"Hi, what is the merit for BE in Materials Engineering? Appreciate it.",Admission to Materials Engineering (BE) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Facilities,I would like to know is Main Cafeteria open on weekends? Please.,"You can visit the Main Cafeteria during standard university working hours, Monday to Friday."
Fees & Scholarships,"Hey CampusBrain, fee for PhD in Chemistry? Can you help?",The fee structure for Chemistry varies depending on whether you are admitted under regular or self-finance categories. Please refer to the latest prospectus.
Admissions,"Hey CampusBrain, when do admissions open for ME? - thanks in advance!",Admissions for ME typically open around June-July for the Fall semester. Keep an eye on the NED admission website at neduet.edu.pk/admission.
Academics,"Hey CampusBrain, location of Mechanical Engineering? Please.",You can find the Mechanical Engineering at the NED Main Campus.
Academics,"Tell me, directions to Urban & Infrastructure Engineering building? Please.",The Urban & Infrastructure Engineering department is located at the Main Campus. You can find its exact location on the campus map near the academic blocks.
Academics,Can you tell me who is the chairperson of Polymer & Petrochemical Engineering? - thanks in advance!,The details of the Chairperson for Polymer & Petrochemical Engineering are listed on the departmental sub-domain of the NED website.
Admissions,"Hello, is the admission open for BE? Can you help?",Admissions for BE typically open around June-July for the Fall semester. Keep an eye on the NED admission website at neduet.edu.pk/admission.
Admissions,Could you please explain how much percentage is required for Telecommunications Engineering MS? Appreciate it.,Admission to Telecommunications Engineering (MS) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Academics,Quick question: chairperson contact for English? ASAP.,The details of the Chairperson for English are listed on the departmental sub-domain of the NED website.
Admissions,I'm looking for info on closing merit for Environmental Engineering? Appreciate it.,Admission to Environmental Engineering (ME) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Admissions,Quick question: how much percentage is required for Textile Engineering PhD? Appreciate it.,The merit criteria for PhD in Textile Engineering depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Academics,Quick question: chairperson contact for Automotive Engineering? Can you help?,The details of the Chairperson for Automotive Engineering are listed on the departmental sub-domain of the NED website.
Admissions,What is the merit for BS in Materials Engineering? Appreciate it.,The merit criteria for BS in Materials Engineering depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Admissions,Could you please explain closing merit for Urban & Infrastructure Engineering? - thanks in advance!,The merit criteria for BE in Urban & Infrastructure Engineering depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Fees & Scholarships,"Hey CampusBrain, fee for MS in Chemistry? Thanks.",The fee structure for Chemistry varies depending on whether you are admitted under regular or self-finance categories. Please refer to the latest prospectus.
Admissions,I would like to know how much percentage is required for Telecommunications Engineering PhD? ASAP.,The merit criteria for PhD in Telecommunications Engineering depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Admissions,Please guide me about what is the merit for ME in Civil Engineering? - thanks in advance!,The merit criteria for ME in Civil Engineering depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Fees & Scholarships,I'm looking for info on fee for PhD in English? Please.,The fee structure for English varies depending on whether you are admitted under regular or self-finance categories. Please refer to the latest prospectus.
Admissions,Quick question: what is the merit for BS in Mechanical Engineering? Thanks.,Admission to Mechanical Engineering (BS) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Facilities,Do you know directions for Transport Office? (I need this urgently),You will find the Transport Office clearly signposted at the NED Main Campus.
Admissions,"Tell me, closing merit for Mechanical Engineering? - thanks in advance!",The merit criteria for BE in Mechanical Engineering depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Admissions,"Hey CampusBrain, merit criteria for Electronic Engineering? ASAP.",Admission to Electronic Engineering (ME) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Admissions,Please guide me about what is the merit for BE in Urban & Infrastructure Engineering? Appreciate it.,Admission to Urban & Infrastructure Engineering (BE) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Fees & Scholarships,"Hey CampusBrain, fee for BS in Environmental Engineering? Appreciate it.",The fee structure for Environmental Engineering varies depending on whether you are admitted under regular or self-finance categories. Please refer to the latest prospectus.
Facilities,When does Engr. Abul Kalam Library open? ASAP.,"You can visit the Engr. Abul Kalam Library during standard university working hours, Monday to Friday."
Admissions,"Hello, how much percentage is required for Petroleum Engineering MS? - thanks in advance!",Admission to Petroleum Engineering (MS) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Academics,Do you know how to find Mechanical Engineering? - thanks in advance!,The Mechanical Engineering department is located at the Main Campus. You can find its exact location on the campus map near the academic blocks.
Admissions,Please guide me about how much percentage is required for English PhD? (I need this urgently),Admission to English (PhD) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Admissions,I would like to know how much percentage is required for Chemistry ME? ASAP.,The merit criteria for ME in Chemistry depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Admissions,Could you please explain what is the merit for MS in Environmental Engineering? - thanks in advance!,The merit criteria for MS in Environmental Engineering depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Facilities,Can you tell me what are the timings for Transport Office? - thanks in advance!,The Transport Office generally operates from 8:30 AM to 4:30 PM on weekdays. Timings may vary during Ramadan or exam seasons.
Admissions,"Hi, how much percentage is required for Telecommunications Engineering BE?",The merit criteria for BE in Telecommunications Engineering depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Facilities,I would like to know where is the Registrar Office? Can you help?,The Registrar Office is situated at the Main Campus. Ask any of the security personnel or student volunteers for exact directions.
Admissions,How much percentage is required for Materials Engineering BE? - thanks in advance!,Admission to Materials Engineering (BE) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Admissions,Do you know what is the merit for BS in Chemistry? Can you help?,The merit criteria for BS in Chemistry depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Admissions,"Hi, how much percentage is required for Polymer & Petrochemical Engineering BS? Appreciate it.",Admission to Polymer & Petrochemical Engineering (BS) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Admissions,"Hi, deadline for BS admission? Thanks.",The schedule for BS admissions is announced on the official website. It generally starts in the summer.
Admissions,How much percentage is required for Electronic Engineering BE? - thanks in advance!,Admission to Electronic Engineering (BE) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Admissions,What is the merit for BS in Computer Systems Engineering?,Admission to Computer Systems Engineering (BS) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Fees & Scholarships,Can you tell me are there scholarships for Polymer & Petrochemical Engineering?,NED University offers various need-based and merit-based scholarships. You can apply through the Student Affairs department.
Admissions,Can you tell me how much percentage is required for Chemistry ME? Please.,The merit criteria for ME in Chemistry depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Fees & Scholarships,"Tell me, fee for MS in Automotive Engineering? (I need this urgently)","For MS in Automotive Engineering, the semester fee is updated annually. You can download the fee voucher from your student portal."
Facilities,I would like to know how do I go to Sports Complex? Appreciate it.,The Sports Complex is situated at the Main Campus. Ask any of the security personnel or student volunteers for exact directions.
Fees & Scholarships,I'm looking for info on fee for BE in Mechanical Engineering? (I need this urgently),"For BE in Mechanical Engineering, the semester fee is updated annually. You can download the fee voucher from your student portal."
Admissions,Please guide me about what is the merit for BE in Physics? - thanks in advance!,Admission to Physics (BE) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Facilities,"Hi, is Admissions Office open on weekends? (I need this urgently)",The Admissions Office generally operates from 8:30 AM to 4:30 PM on weekdays. Timings may vary during Ramadan or exam seasons.
Admissions,Quick question: merit criteria for Mechanical Engineering? - thanks in advance!,Admission to Mechanical Engineering (BS) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Fees & Scholarships,"Hello, fee for ME in Architecture? Please.",The fee structure for Architecture varies depending on whether you are admitted under regular or self-finance categories. Please refer to the latest prospectus.
Fees & Scholarships,"Hey CampusBrain, fee for BE in Textile Engineering? Please.",The fee structure for Textile Engineering varies depending on whether you are admitted under regular or self-finance categories. Please refer to the latest prospectus.
Academics,"Hey CampusBrain, how to find Polymer & Petrochemical Engineering? Please.",The Polymer & Petrochemical Engineering department is located at the Main Campus. You can find its exact location on the campus map near the academic blocks.
Academics,Can you tell me how to find Civil Engineering?,The Civil Engineering department is located at the Main Campus. You can find its exact location on the campus map near the academic blocks.
Academics,Please guide me about location of Automotive Engineering?,The Automotive Engineering department is located at the Main Campus. You can find its exact location on the campus map near the academic blocks.
Academics,"Hi, where is the Mathematics department located? - thanks in advance!",The Mathematics department is located at the Main Campus. You can find its exact location on the campus map near the academic blocks.
Admissions,Quick question: how much percentage is required for English PhD? Thanks.,Admission to English (PhD) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Facilities,"Tell me, how do I go to Main Cafeteria? Can you help?",You will find the Main Cafeteria clearly signposted at the NED Main Campus.
Fees & Scholarships,Can you tell me what is the fee structure for Textile Engineering? - thanks in advance!,The fee structure for Textile Engineering varies depending on whether you are admitted under regular or self-finance categories. Please refer to the latest prospectus.
Fees & Scholarships,I would like to know fee for BE in Physics? (I need this urgently),"For BE in Physics, the semester fee is updated annually. You can download the fee voucher from your student portal."
Fees & Scholarships,"Hi, are there scholarships for Physics? (I need this urgently)",NED University offers various need-based and merit-based scholarships. You can apply through the Student Affairs department.
Fees & Scholarships,Quick question: how much does Metallurgical Engineering cost? Appreciate it.,"For BS in Metallurgical Engineering, the semester fee is updated annually. You can download the fee voucher from your student portal."
Academics,Could you please explain HOD of Urban & Infrastructure Engineering?,"To contact the HOD of Urban & Infrastructure Engineering, please visit the specific department's page on neduet.edu.pk."
Admissions,Can you tell me how much percentage is required for Computer Systems Engineering ME? - thanks in advance!,The merit criteria for ME in Computer Systems Engineering depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Facilities,Could you please explain how do I go to Main Cafeteria? ASAP.,You will find the Main Cafeteria clearly signposted at the NED Main Campus.
Admissions,Please guide me about how much percentage is required for Environmental Engineering BS? - thanks in advance!,Admission to Environmental Engineering (BS) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Fees & Scholarships,"Tell me, fee for PhD in Electronic Engineering?","For PhD in Electronic Engineering, the semester fee is updated annually. You can download the fee voucher from your student portal."
Fees & Scholarships,Can you tell me fee for BS in Software Engineering? Can you help?,"For BS in Software Engineering, the semester fee is updated annually. You can download the fee voucher from your student portal."
Fees & Scholarships,I would like to know what is the fee structure for Architecture? ASAP.,"For ME in Architecture, the semester fee is updated annually. You can download the fee voucher from your student portal."
Admissions,"Hello, how much percentage is required for Telecommunications Engineering ME?",Admission to Telecommunications Engineering (ME) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Admissions,Quick question: how much percentage is required for Environmental Engineering BS?,The merit criteria for BS in Environmental Engineering depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Fees & Scholarships,How much does Electronic Engineering cost? (I need this urgently),The fee structure for Electronic Engineering varies depending on whether you are admitted under regular or self-finance categories. Please refer to the latest prospectus.
Admissions,"Hey CampusBrain, what is the merit for BE in Textile Engineering? Thanks.",Admission to Textile Engineering (BE) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Admissions,"Hi, how much percentage is required for English PhD? Appreciate it.",The merit criteria for PhD in English depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Fees & Scholarships,Can you tell me fee for MS in Chemical Engineering? ASAP.,The fee structure for Chemical Engineering varies depending on whether you are admitted under regular or self-finance categories. Please refer to the latest prospectus.
Academics,Chairperson contact for Environmental Engineering? - thanks in advance!,The details of the Chairperson for Environmental Engineering are listed on the departmental sub-domain of the NED website.
Facilities,I would like to know closing time for Medical Centre? Thanks.,"You can visit the Medical Centre during standard university working hours, Monday to Friday."
Academics,Could you please explain directions to Architecture building?,You can find the Architecture at the NED Main Campus.
Academics,"Hi, chairperson contact for English? (I need this urgently)","To contact the HOD of English, please visit the specific department's page on neduet.edu.pk."
Academics,I would like to know how to find Electrical Engineering? (I need this urgently),You can find the Electrical Engineering at the NED Main Campus.
Fees & Scholarships,Could you please explain fee for ME in Textile Engineering? Appreciate it.,"For ME in Textile Engineering, the semester fee is updated annually. You can download the fee voucher from your student portal."
Fees & Scholarships,"Hey CampusBrain, what is the fee structure for Environmental Engineering? Can you help?",The fee structure for Environmental Engineering varies depending on whether you are admitted under regular or self-finance categories. Please refer to the latest prospectus.
Fees & Scholarships,Could you please explain how much does Polymer & Petrochemical Engineering cost? Appreciate it.,"For MS in Polymer & Petrochemical Engineering, the semester fee is updated annually. You can download the fee voucher from your student portal."
Admissions,Quick question: what is the merit for BE in Electronic Engineering? Thanks.,The merit criteria for BE in Electronic Engineering depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Academics,Who is the chairperson of English?,"To contact the HOD of English, please visit the specific department's page on neduet.edu.pk."
Admissions,"Tell me, how much percentage is required for Metallurgical Engineering BE? Thanks.",Admission to Metallurgical Engineering (BE) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Fees & Scholarships,Can you tell me fee for BE in Food Engineering? - thanks in advance!,"For BE in Food Engineering, the semester fee is updated annually. You can download the fee voucher from your student portal."
Admissions,Please guide me about closing merit for Civil Engineering? ASAP.,Admission to Civil Engineering (BE) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Admissions,How much percentage is required for Telecommunications Engineering BS? - thanks in advance!,The merit criteria for BS in Telecommunications Engineering depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Admissions,"Tell me, how much percentage is required for Telecommunications Engineering ME? (I need this urgently)",Admission to Telecommunications Engineering (ME) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Facilities,Quick question: location of Registrar Office?,You will find the Registrar Office clearly signposted at the NED Main Campus.
Admissions,I would like to know what is the merit for PhD in Urban & Infrastructure Engineering? Please.,Admission to Urban & Infrastructure Engineering (PhD) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Admissions,Can you tell me what is the merit for MS in Biomedical Engineering? Please.,The merit criteria for MS in Biomedical Engineering depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Admissions,Please guide me about what is the merit for PhD in Materials Engineering? - thanks in advance!,Admission to Materials Engineering (PhD) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Fees & Scholarships,"Hello, what is the fee structure for Physics? Thanks.","For MS in Physics, the semester fee is updated annually. You can download the fee voucher from your student portal."
Admissions,"Tell me, what is the merit for PhD in Chemistry?",Admission to Chemistry (PhD) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Admissions,Could you please explain closing merit for Materials Engineering? ASAP.,The merit criteria for PhD in Materials Engineering depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Fees & Scholarships,Can you tell me fee for MS in Biomedical Engineering? Thanks.,"For MS in Biomedical Engineering, the semester fee is updated annually. You can download the fee voucher from your student portal."
Admissions,Quick question: how much percentage is required for Urban & Infrastructure Engineering PhD? (I need this urgently),The merit criteria for PhD in Urban & Infrastructure Engineering depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Fees & Scholarships,Could you please explain fee for ME in Mathematics?,"For ME in Mathematics, the semester fee is updated annually. You can download the fee voucher from your student portal."
Fees & Scholarships,Can you tell me how much does Mathematics cost? - thanks in advance!,"For BE in Mathematics, the semester fee is updated annually. You can download the fee voucher from your student portal."
Fees & Scholarships,Do you know are there scholarships for Mathematics? Can you help?,NED University offers various need-based and merit-based scholarships. You can apply through the Student Affairs department.
Academics,"Hello, location of Civil Engineering? - thanks in advance!",The Civil Engineering department is located at the Main Campus. You can find its exact location on the campus map near the academic blocks.
Admissions,"Tell me, what is the merit for BS in Computer Systems Engineering? Can you help?",Admission to Computer Systems Engineering (BS) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Academics,"Hello, location of Biomedical Engineering? ASAP.",You can find the Biomedical Engineering at the NED Main Campus.
Academics,"Tell me, how to find Software Engineering? (I need this urgently)",You can find the Software Engineering at the NED Main Campus.
